가수,제목,가사
임영웅,손이참곱던그대,"손이 참 곱던 그대 어느새 이렇게
내 맘 깊숙이 스며들었나요
나 그대의 그 미소에
맘이 떨려 한순간
그대 때문에 음흠 그대여 음흠
날 받아 주세요
나 그대에게 안길게요
한순간에 일초만에
당장 너에게 달려갈게
저 붉은 태양보다 그대만
저 푸른 하늘보다 그대만
사랑해 너무 사랑해
세상 그 무엇보다
밝게 날 비추네 음흠
그대여 음흠
날 받아 준다면
다 그대에게 바칠게요
내 하루의 일분일초까지
당신만 생각할게
저 붉은 태양보다 그대만
저 푸른 하늘보다 그대만
사랑해 너무 사랑해
세상 그 무엇보다
밝게 날 비추네 음흠 그대여 유후
저 지는 노을보다 그대만
저 우주 별빛보다 그대만
사랑해 너를 사랑해
세상 그 무엇보다
밝게 날 비추네 음흠 그대여 음흠
손이 참 곱던 그대
내 맘 깊숙이
나 그대의 그 미소에 음흠"
LESSERAFIM(르세라핌),ANTIFRAGILE,"Anti ti ti ti fragile fragile
Anti ti ti ti fragile
Anti ti ti ti fragile fragile
Antifragile antifragile
가시밭길 위로 riding
you made me boost up
거짓으로 가득 찬 party
가렵지도 않아
내 뒤에 말들이 많아
나도 첨 듣는 내 rival
모두 기도해 내 falling
그 손 위로 I’mma jump in
Yes gimme that
걸어봐 위엄 like a lion
눈빛엔 거대한 desire
더 부어 gasoline on fire
불길 속에 다시 날아 rising
잊지 마 내가 두고 온 toe shoes
무슨 말이 더 필요해
무시 마 내가 걸어온 커리어
I go to ride till I die die
더 높이 가줄게
내가 바랐던 세계 젤 위에
떨어져도 돼
I’m antifragile antifragile
난 지금 on my way 갖다버려 줘
너의 fairy tale
Now you know my name
I’m antifragile antifragile
Anti ti ti ti fragile fragile
Anti ti ti ti fragile
Anti ti ti ti fragile fragile
Antifragile antifragile
“Lovey lovey lovey
dovey dovey dovey”
멋대로 정하네 나란 애에 대해
I don't know what to say
I can't feel it
뜨거운 관심은 환영
귀여운 질투는 go ahead
줄 달린 인형은 no thanks
내 미랠 쓸 나의 노래
Yes gimme that
걸어봐 위엄 like a lion
눈빛엔 거대한 desire
더 부어 gasoline on fire
불길 속에 다시 날아 rising
잊지 마 내가 두고 온 toe shoes
무슨 말이 더 필요해
무시 마 내가 걸어온 커리어
I go to ride till I die die
더 높이 가줄게
내가 바랐던 세계 젤 위에
떨어져도 돼
I’m antifragile antifragile
난 지금 on my way 갖다버려 줘
너의 fairy tale
Now you know my name
I’m antifragile antifragile
Anti ti ti ti fragile fragile
Anti ti ti ti fragile
Anti ti ti ti fragile fragile
Antifragile antifragile
We can break it baby
Rock it twist it lock it baby
All I know is you can’t chain me
‘Cause I’m gonna break out
gonna gonna break out out
We can break it baby
Rock it twist it lock it baby
All I know is you can’t chain me
'Cause I’m gonna break out
gonna gonna break out out
더 높이 가줄게
내가 바랐던 세계 젤 위에
떨어져도 돼
I’m antifragile antifragile
난 지금 on my way 갖다버려 줘
너의 fairy tale
Now you know my name
I’m antifragile antifragile
Anti ti ti ti fragile fragile
Anti ti ti ti fragile
Anti ti ti ti fragile fragile
Antifragile antifragile"
"경서예지,전건호",다정히내이름을부르면,"끝없이 별빛이 내리던 밤
기분 좋은 바람이
두 뺨을 스치고 
새벽 바다 한곳을 보는
아름다운 너와 나
그림을 그려갔어
모래 위 떨린 손끝으로
날 향해 웃어주는 입술
끝 모양과 저 달보다
사랑스러운 두 눈을 가진 네가
다정히 내 이름을
부르면 내 마음이
녹아내려 언제나
나 하날 위해 준비된
선물 같아 널 안으면
잠들지 않는 바다 위를
너와 함께 걷는 거 같아
하늘 아래 너와 나
남은 내 모든 날을 너에게
다 줘도 안 아까워
이제서야 내가
사랑에 눈을 뜬 건 가봐
경험하지 못했고
믿기지 않는 일만
일어나고 있는 거 아니
5월에 피는 봄꽃 처럼
내 사랑도 피어나
부는 바람에 살며시 실어 보내
다정히 내 이름을
부르면 내 마음이
녹아내려 언제나
나 하날 위해 준비된
선물 같아 널 안으면
잠들지 않는 바다 위를
너와 함께 걷는 거 같아
하늘 아래 너와 나
설레는 지금이
꿈이 아닌 걸 알잖아
난 더 바랄 게 없어
먼 훗날 내 생애
아주 작은 소리로
귓가에 말할 거야
내 곁에 머물러줘서
마음 다해 고맙다고
어떤 말로도 표현 못 할
내 인생의 전부였다고
이 순간 너를 꼭 안고
고백할게 언제나
우리 모든 날들과
별빛 아래 우리 그림자
제일로 특별하다고
길고 긴 겨울 끝을 지나
너의 앞에 서있는 지금
선명한 목소리로
널 사랑한다고
말할게"
우디(Woody),사막에서꽃을피우듯,"아침에 눈 뜨는 게 너무 행복해졌어 
널 사랑한다 말할 수 있어서 하늘에 감사해 
⠀
네 번의 계절을 너와 함께할게
평생토록 더 오래도록 더 영원토록
⠀
음악처럼 꿈처럼 
매일 새롭게 사랑을 주고 싶어 
지금처럼 곁에 있어 주기를 언제나
⠀
사막에서 꽃을 피우듯 널 만난 건 기적인 걸
설렘이 사라지더라도 이 사랑을 지켜줄게
⠀
허물없이 지내다가도
힘든 날엔 말없이 기댈 수 있게
언제나 네 곁에 내가 서 있을게 
⠀
한 걸음 한 걸음 
어둡지 않게 내가 널 비춰줄게
지금처럼 곁에 있어 주면 돼 언제나
⠀
사막에서 꽃을 피우듯 널 만난 건 기적인 걸
설렘이 사라지더라도 이 사랑을 지켜줄게
⠀
허물없이 지내다가도
힘든 날엔 말없이 기댈 수 있게
언제나 네 곁에 내가 서 있을게 
⠀
너와 함께하는 이 시간이
조금만 더 천천히 흘러가길
⠀
어떤 날엔 웃게 해 줄게
좋은 날엔 더 안아줄게
슬픈 날엔 그냥 울어도 돼
내가 더 노력할게 
⠀
허물없이 지내다가도 
힘든 날엔 말없이 기댈 수 있게
언제나 네 곁에 내가 서 있을게
⠀
언제나 네 곁에 있을게"
폴킴,"모든날,모든순간(Everyday,EveryMoment)","네가 없이 웃을 수 있을까
생각만 해도 눈물이나
힘든 시간 날 지켜준 사람
이제는 내가 그댈 지킬 테니
너의 품은 항상 따뜻했어
고단했던 나의 하루에
유일한 휴식처
나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해
햇살처럼 빛나고 있었지
나를 보는 네 눈빛은
꿈이라고 해도 좋을 만큼
그 모든 순간은 눈부셨다
불안했던 나의 고된 삶에
한줄기 빛처럼 다가와
날 웃게 해준 너
나는 너 하나로 충분해
긴 말 안 해도 눈빛으로 다 아니깐
한 송이의 꽃이 피고 지는
모든 날 모든 순간 함께해
알 수 없는 미래지만
네 품속에 있는 지금 순간 순간이
영원 했으면 해
갈게 바람이 좋은 날에
햇살 눈부신 어떤 날에 너에게로
처음 내게 왔던 그날처럼
모든 날 모든 순간 함께해"
화사(HWASA),ILoveMyBody,"(I love my body, that’s my body, I love my body)
아침에 일어나 세수하고 거울을 봐
눈 한 번 비비고 자세히 좀 바라봐
생김새 하나하나 난 꽤나 괜찮아
It’s okay to be okay
자유로운 척 매여있어
기준만 수백만 가지 뭐가 맞는 거지 정답은 딱 한 가지
I love my body 윤기나는 내 머리
발끝까지 My body (Yeah that’s my body)
Yeah that’s my body 사랑스런 내 Tummy
Unique한 팔과 다리 (Yeah that’s my body)
살 빠졌네 안 빠졌네 그게 왜 궁금한 건데?
반가웠던 맘 사라지게
쓸데없는 인사치레 Cause my body’s more than that
질겅질겅 너의 그 입에 오르락내리락 막 다룰 존재는 아냐
Boy I think you’re not okay
날 사랑하든 안 하든 진짜 관심도 없거든
네가 원하거든 알아야 할 한 가지는
I love my body 윤기나는 내 머리
발끝까지 My body (Yeah that’s my body)
Yeah that’s my body 사랑스런 내 Tummy
Unique한 팔과 다리 (Yeah that’s my body)
Love my body
Yeah I do love me
끝내주는 내 미소까지
Love my body
Nothing can change me
사랑할래 지구 끝까지
I love my body 윤기나는 내 머리
발끝까지 My body (Yeah that’s my body)
Yeah that’s my body 사랑스런 내 Tummy
Unique한 팔과 다리 (Yeah that’s my body)
1, 2, 3, 4
Yeah that’s my body
Yeah that’s my body"
CharliePuth,IDon'tThinkThatILikeHer,"Get her name and get her number
Find out all of the things
that we have in common
Never all the differences,
oh, yeah
Meet her parents, meet her brother
Then she starts sleepin'
over the crib on weekends
Like a real relationship, oh, no
For me, the stars are alignin'
But for her, it's bad timin'
So she just can't be mine
I don't think
that I like her anymore
Cause they're all the same
All they wanna do is break
my heart, my heart (Oh-oh)
I don't think
that I like her anymore
Cause they're all the same
They just wanna see me
fall apart, apart (Oh-oh)
So I hook up on a rebound
And I say that I'm gonna be
single for life
But she's so pretty
and nice (Pretty and nice)
So I made just one exception
But I find out eventually
I'm not her type
Baby, that's the reason why, that
For me, the stars are alignin'
But for her, it's bad timin'
So she just can't be mine
I don't think
that I like her anymore (Yeah)
Cause they're all the same
All they wanna do is break
my heart, my heart (Oh-oh)
I don't think
that I like her anymore (No)
Cause they're all the same
They just wanna see me
fall apart, apart (Oh-oh)
I'm trying not to be bitter
But damn it, I miss her
'Cause she's one of a kind
For me, the stars are alignin'
But for her, it's bad timin'
So she just can't be mine
I don't think
that I like her anymore
Cause they're all the same
All they wanna do is break
my heart, my heart (Oh-oh)
I don't think
that I like her anymore
Cause they're all the same
They just wanna see me
fall apart, apart (Oh-oh)
Then we fall,
we fall, fall, fall apart now
I don't think
that I like her anymore
Cause they're all the same
They just wanna see me
fall apart, apart (Oh-oh)"
IVE(아이브),LOVEDIVE,"네가 참 궁금해 그건 너도 마찬가지
이거면 충분해 쫓고 쫓는 이런 놀이
참을 수 없는 이끌림과 호기심 
묘한 너와 나 두고 보면 알겠지
Woo 눈동자 아래로
Woo 감추고 있는 거
Woo yeah It’s so bad It’s good 
난 그 맘을 좀 봐야겠어
Narcissistic, my god I love it
서로를 비춘 밤
아름다운 까만 눈빛 더 빠져 깊이
(넌 내게로 난 네게로) 
숨 참고 love dive
Woo lalalalalalala
Woo 어서 와서 love dive
Woo oh perfect sacrifice yeah
숨 참고 love dive
마음은 이렇게 알다가도 모르지
사랑이라는 건 한순간에 필 테니
직접 들어와 두 눈으로 확인해
내 맘 가장 깊은 데로 오면 돼
Woo 망설일 시간은
Woo 3초면 되는 걸
Woo yeah It’s so bad It’s good 
원하면 감히 뛰어들어
Narcissistic, my god I love it
서로를 비춘 밤
아름다운 까만 눈빛 더 빠져 깊이
(넌 내게로 난 네게로) 
숨 참고 love dive
Woo lalalalalalala
Woo 어서 와서 love dive
Woo oh perfect sacrifice yeah
숨 참고 love dive
숨 참고 love dive 
숨 참고 love dive
숨 참고 love dive
숨 참고 love dive
Woo lalalalalalala
Woo 어서 와서 love dive
Woo oh perfect sacrifice yeah
숨 참고 love dive"
세븐틴(SEVENTEEN),손오공,"땅을 보고 계속 올랐지 정상까지
많은 시련은 보란 듯이 I Always Win
강한 마음이 중요하지
미래는 도망가지 않아 내가 놓기 전까지
DARUMDARIMDA
구름을 타고 여기저기로 (Hey)
DARUMDARIMDA
우리들의 긍지를 높이러 (Hey)
DARUMDARIMDA
또 다른 세계 나아가자 Go
이 Rhythm에 맞춰
Say Say Say Say
영웅본색 Like This
시간과 공간에 구애받지 않는 자세
힘을 다하고 쓰러져도
포기를 모르고 날뛰는 중
마치 된 것 같아 손오공
마치 된 것 같아 손오공
우리는 쉬지 않아 매일,
Make it Make it
끝까지 가보자
마치 된 것 같아 손오공
I Luv My Team I Luv My Crew
여기까지 달리면서
I Luv My Team I Luv My Crew
계속 달릴 수 있어 더
I Luv My Team I Luv My Crew
여기까지 오르면서
I Luv My Team 그 덕분에 우린
마치 된 것 같아 손오공
알리지 우리는 등장 중
여전히 세대를 뒤바꿈
멈추지 않아 뜀박 중
발이 꼬여도 뒷박 쿵
WOO WOO Pull Up My 근두운
WOO WOO 성실히 수행 중
DARUMDARIMDA
늘어나라 하늘로 여의봉 (Hey)
DARUMDARIMDA
우리들의 매일은 Come & Go (Hey)
DARUMDARIMDA
모든 걸 위해 나아가자 Go
이 노래에 맞춰
Say Say Say Say
영웅본색 Like This
시간과 공간에 구애받지 않는 자세
힘을 다하고 쓰러져도
포기를 모르고 날뛰는 중
마치 된 것 같아 손오공
마치 된 것 같아 손오공
우리는 쉬지 않아 매일,
Make it Make it
끝까지 가보자
마치 된 것 같아 손오공
I Luv My Team I Luv My Crew
여기까지 달리면서
I Luv My Team I Luv My Crew
계속 달릴 수 있어 더
I Luv My Team I Luv My Crew
여기까지 오르면서
I Luv My Team 그 덕분에 우린
마치 된 것 같아 손오공
진실은 때론 잔혹해 (What’s That?)
거짓은 때론 달콤해 (What’s That?)
다정함은 때론 거짓말로 (What’s That?)
나쁜 것 싹 다 모아둬
Ping 하고 불 나와
Ener Energy 기 모아 아주 다 나와
Ener Energy 한방에 아주 발사 파
지금부터 다 하늘 위로 함성 발사
이 노래는 이 만화의 엔딩송이다"
NewJeans,NewJeans,"Look it's a new me
Switched it up, who's this? 
우릴 봐 NewJeans 
So fresh, so clean
얼마나
기다렸던 날
드디어
Time to step out 
또 한 번 더
Ready for sure 
To have some more
New hair 
New tee
NewJeans 
Do you see
New hair 
New tee
NewJeans 
Do you see
New hair 
New tee
NewJeans 
Do you see
New hair 
New tee
NewJeans 
Do you see
Make it feel
Like a game
Look at us, we go
On & on again
We'll go on to the end 
What we wanna do
On & on again
Make it feel
Like a game
Look at us, we go
On & on again
We'll go on to the end 
What we wanna do
On & on again
Look it's a new me 
Switched it up, who's this? 
들어봐 NewJeans 
So fresh, so clean
얼마나
기다렸던 날
드디어
Feeling's so right 
또 한 번 더
I need to know 
You want some more 
New hair 
New tee
NewJeans 
You & me
New hair 
New tee
NewJeans 
You & me
New hair 
New tee
NewJeans 
You & me
New hair 
New tee
NewJeans 
You & me"
"NewJeans,LeagueofLegends",GODS,"GA-GA-GA-GA-GA-GODS
GA-GA-GA-GA-GA-GODS
(’ey) This is what you came for
Blood on the game ball
Everybody dropping like rainfall
(‘uh’) This is your moment
Eyes on the pulpit, kid
(I) think Church just opened
And they’re singing your praises la-la-la
Screaming your name out la-la-loud
One more step, you’re Immortal now, ‘cause
Once you play GOD
Once you play GOD
They’re gonna’ crumble one by one
Then we gonna ride right into the Sun like it’s the day my kingdom come
Baby we’re
GA-GA-GA-GA-GA-GODS
Yeah we’re
GA-GA-GA-GA-GA-GODS
Welcome to the big show
Next on the ladder
Is it your name in the rafter?
Brief moment of silence
Bad girl woke up chose violence
And they’re singing my praises la-la-la
Screaming my name out la-la-loud
This is why we’re Immortal now, ‘cause
Once you play GOD
Once you play GOD
They’re gonna’ crumble one by one
Then we gonna ride right into the Sun like it’s the day my kingdom come
Baby we’re
GA-GA-GA-GA-GA-GODS
Oh, yeah we’re
GA-GA-GA-GA-GA-GODS
I’m on my knees
Pray for glory
Will anyone read this underdog story?
I can’t lose myself again
Help me raise this heart
Heart, unbreakable
Once you play GOD
Once you play GOD
They’re gonna’ crumble one by one
Then we gonna ride right into the Sun like it’s the day my kingdom come
Once you play GOD
Once you play GOD
They’re gonna’ crumble one by one
Then we gonna ride right into the Sun like it’s the day my kingdom come
Baby we’re
GA-GA-GA-GA-GA-GODS
Oh, yeah we’re
GA-GA-GA-GA-GA-GODS
GA-GA-GA-GA-GA-GODS
Oh, yeah we’re
GA-GA-GA-GA-GA-GODS"
AKMU(악뮤),후라이의꿈,"저 거위도 벽을 넘어 하늘을 날을 거라고
달팽이도 넓고 거친 바다 끝에 꿈을 둔다고
나도 꾸물꾸물 말고 꿈을 찾으래
어서 남의 꿈을 빌려 꾸기라도 해
내게 강요하지 말아요 이건 내 길이 아닌걸
내밀지 말아요 너의 구겨진 꿈을
난 차라리 흘러갈래
모두 높은 곳을 우러러볼 때
난 내 물결을 따라
Flow flow along flow along my way
난 차라리 꽉 눌러붙을래
날 재촉한다면 
따뜻한 밥 위에 누워 자는
계란 fry fry 같이 나른하게
고래도 사랑을 찾아 파도를 가를 거라고
하다못해 네모도 꿈을 꾸는데
아무도 꿈이 없는 자에겐 기회를 주지 않아
하긴 무슨 기회가 어울릴지도 모를 거야
무시 말아 줘요 하고 싶은 게 없는걸
왜 그렇게 봐 난 죄지은 게 아닌데
난 차라리 흘러갈래
모두 높은 곳을 우러러볼 때
난 내 물결을 따라
Flow flow along flow along my way
난 차라리 꽉 눌러붙을래
날 재촉한다면
따뜻한 밥 위에 누워 자는
계란 fry fry 같이
Spread out
틀에 갇힌 듯한 똑같은 꿈
Spread out out
난 이 두꺼운 껍질을 깨고 나와 퍼지고 싶어
난 차라리 굴러갈래
끝은 안 보여 뒤에선 등 떠미는데
난 내 물결을 따라
Flow flow along flow along my way
난 차라리 꽉 눌러붙을래
날 재촉한다면
고민 하나 없이 퍼져 있는
계란 fry fry 같이 나른하게"
김호중,나의목소리로,"그대 나를 많이 기다렸나요
그대 나를 많이 생각했나요
내가 그대에게 오기까지
긴 시간을 버티며
말없이 안아준 그대
내가 아플 때 눈물이 돼줘서
내가 지칠 때 웃음이 돼줘서
내가 그대를 만나기까지
수없이 넘어져도
곁에서 지켜준 그대
들리십니까 나의 간절한 목소리가
그대 가슴에 들리십니까
내 마음을 담아 내 사랑을 담아
그대에게 들려 드릴게요
나의 목소리로
버틸 수 있는 이유 그대라서
기대고 싶은 사람 그대라서
이젠 그대가 힘들 때마다
따뜻한 햇살처럼
곁에서 안아줄게요
들리십니까 나의 간절한 목소리가
그대 가슴에 들리십니까
내 마음을 담아 내 사랑을 담아
그대에게 들려 드릴게요
사랑한다고 사랑한다고
내겐 너무 소중하다고
외치는 말이 들리십니까
내 두 팔을 벌려 그대를 안고서
그대에게 들려 드릴게요
나의 목소리로"
NewJeans,ASAP,"Hi it’s me again
I’m back (hey)
Let’s talk ASAP
Do you have the time? (Let’s talk)
ASAP baby
Hurry up don’t be lazy
ASAP baby
Hurry up don’t say maybe
할 얘기 다 한 줄 알고 빨간색 눌러
끊고 나니 생각나서 다시 또 울려
There’s this one more thing
I’ll show you come with me
So much to do and lots to see
Just for a minute
Tik tok tik tok tik tok
Just for a minute
Tik tok tik tok tik tok
ASAP baby
Hurry up don’t say maybe
ASAP baby
Hurry up don’t say maybe
Hi it’s me again
I’m back (hey)
Let’s talk ASAP
Do you have the time? (Do you like it?)
(Let’s talk)
ASAP baby
Hurry up don’t be lazy
ASAP baby
Hurry up don’t say maybe
ASAP baby
Hurry up don’t say
Hurry up don’t say
Just for a minute
Tik tok tik tok tik tok
Just for a minute
Tik tok tik tok tik tok"
전소미,FastForward,"I’m your future lover
타락한 밤 너의 ruler
영화 속 달콤한 promise
믿지 않아 let’s be honest, yeah
틀린 건 없어 when it feels so right
닿지 않아도 이미 느끼잖아
나쁠 건 없어 when it feels so right
네 위를 봐 I’m your goddess 
How many lovers do I go through to find you
How many heartbreaks I take just to get to you 
How many lovers do I go through to find you
How many how many how many 
Fast Forward
Girl you the one stop 
Got it all 
Diamond-kissed 
Head to toe 
Sunshine 
Got the glow 
Need you bad 
Never go 
One stop 
Domino 
That’s how quick 
You made me fall 
So in love yeah 
That’s so us 
How many lovers do I go through to find you
How many heartbreaks I take just to get to you 
How many lovers do I go through to find you
How many how many how many 
Fast Forward
(How many how many how many)
(How many how many how many)
흔들린 pendulum
너를 부를 때
이 뒤틀린 시간 속 
넌 내 눈앞에
Now think of the one you want 
Picturing my face 
And I’ll be the one you on
I’ll be the one you on
I’ll be the one you want
I can hear you say
Fast Forward
(yeah yeah yeah yeah)
Fast Forward
(yeah yeah yeah yeah)
Fast Forward"
aespa,BetterThings,"Oh Got better things
to do with my time
Better things
to do with my time
Do with my time than you
Oh I got better things
to do with my time
Better things
to do with my time
Do with my time
I wasn’t ever sure
that I loved you
But I was always sure
you would let me down
I wasn’t ever sure
if I’d trust you
But I’m so goddamn sure
my energy is
just too precious to waste
So now you, now you wanna
Know me, wanna know me
You wanna know all about me,
wanna know about me
But he can’t have me
Cuz I left him alone
You know you wanna know me,
you wanna know me
You wanna know all about me,
wanna know about me
But he can’t have me
Cuz I’m gone no no know
That I - I got better things
to do with my time
Better things
to do with my time
Do with my time than you
Oh I got better things
to do with my time
Better things
to do with my time
Do with my time
Break it down
Oh Better things
to do with my time
Better things
to do with my time
Do with my time than you
Yes
Wasn’t ever sure
if I loved you
But I was always sure
you would have loved me back
You had me right right right
at my weakest Yeah
Now you’re hurting
I can see you’re mad
cuz you’re never gonna get
that back now
I know you wanna
Know me, wanna know me
You wanna know all about me,
wanna know about me
But he can’t have me
Cuz I left him alone
(I left him alone)
I know you wanna know me,
wanna know me
You wanna know all about me,
wanna know about me
But he can’t have me
Cuz I’m gone no no know
That I - I got better things
to do with my time
Better things
to do with my time
Do with my time than you
Oh I got better things
to do with my time
Better things
to do with my time
Do with my time
Break it down
I’m sorry that it hurts you
No I’m sorry I ain’t sorry
aespa big girls making money
aespa you’re our number 1 fan now
You can only see me at our
Sold out shows (Sold out show)
Will I ever go back (No)
Will I ever trip up (No)
Will I ever pull up on him (No)
Watch and see bout to
throw another rhythm on him
(Oh That I)
Ah Got better things
to do with my time
Better things
to do with my time
Do with my time than you (Yes)
Oh I got better things
to do with my time
Better things
to do with my time
Do with my time
Break it down
I got better
things to do
with my time
I got better
things to do
with my time
I’m sorry that it hurts you
No I’m sorry I ain’t sorry
aespa big girls making money
aespa you’re our number 1 fan now
You can only see me at our
Sold out shows (Sold out show)
Will I ever go back (No)
Will I ever trip up (No)
Will I ever pull up on him (No)
Watch and see bout to
throw another rhythm on him"
임영웅,모래알갱이,"나는 작은 바람에도 흩어질 
나는 가벼운 모래 알갱이 
그대 이 모래에 작은 발걸음을 내어요 
깊게 패이지 않을 만큼 가볍게 
나는 작은 바람에도 흩어질 
나는 가벼운 모래 알갱이 
그대 이 모래에 작은 발자국을 내어요 
깊게 패이지 않을 만큼 가볍게 
그대 바람이 불거든 
그 바람에 실려 홀연히 따라 걸어가요 
그대 파도가 치거든 
저 파도에 홀연히 흘러가리 
그래요 그대여 내 맘에 
언제라도 그런 발자국을 내어줘요 
그렇게 편한 숨을 쉬듯이 
언제든 내 곁에 쉬어가요 
그대 바람이 불거든 
그 바람에 실려 홀연히 따라 걸어가요 
그대 파도가 치거든 
저 파도에 홀연히 흘러가리 
그래요 그대여 내 맘에 
언제라도 그런 발자국을 내어줘요 
그렇게 편한 숨을 쉬듯이 
언제든 내 곁에 쉬어가요 
언제든 내 맘에 쉬어가요 "
#안녕,해요(2022),"그녀와 나는요 그땐 참 어렸어요
많이 사랑했고 때론 많이 다퉜었죠
지금 생각하면 모두 내 잘못이죠
마지막 그날도 그녀는 울었어
나는 그녈 잡지 못했죠
지금까지도 너무 후회가 돼요
그 후로 누굴 사랑한 적 없어 아직은
그녀와 나는요
언젠가 만날 거죠
변해버린 모습 변해버린 시간 속에
하지만 괜찮아 내 눈엔 아름답던
예전 모습 그대로 일 거예요
그녀도 날 못 잊을 거야 나는 믿어요
그만큼 사랑했죠
그래서 우린 한 번은 만나야만 해요
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
언제라도
그녀도 날 못 잊을 거야 나는 믿어요
그만큼 사랑했죠
그래서 우린 한 번은 만나야만 해요
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
내가 매일 기다린다고"
정국,3D(feat.JackHarlow),"1, 2, 3D
I can’t touch you through the phone
Or kiss you through the universe
In another time zone
It’s the only time I can’t reverse
But when there’s 2 dimensions
There’s only 1 I’m missing
And if you feel alone
You don’t have to feel that no more
I just wanna see you like that
See you like that, uh uh
So if you’re ready
And if you’ll let me
I wanna see it
In motion
In 3D
You won’t regret me
Champagne confetti
I wanna see it
In motion
In 3D
‘Cause you know how I like it girl
3D
You know how I like it girl
3D
Body to body to body to body to body
You and me baby you know, that we got it
So don’t go getting me started
‘Cause you know I get hot hearted
Baby oh baby oh baby you making me crazy
Rain rain rain you can’t fake it
You give me brand new emotion
You got me drinking that potion
I just wanna see you like that
See you like that, uh uh
So if you’re ready
And if you’ll let me
I wanna see it
In motion
In 3D
You won’t regret me
Champagne confetti
I wanna see it
In motion
In 3D
‘Cause you know how I like it girl
3D
You know how I like it girl
3D
‘Cause you know how I like it girl
3D
You know how I like it girl
3D
I’m on my Jung Kook
Take a chick off one look
And when they get took
They don’t ever get untook
When I seen that body you would think it was a d*** ****
The way I told my boys come look
I used to take girls up to Stony Brook
And steal they hearts like some crook
True story
Now when I hold somebody’s hand it’s a new story
All my ABGs get cute for me
I had one girl, too boring
Two girls, that was cool for me
Three girls, damn dude’s horny
Four girls, okay now you w******
(Hey hey hey) hey I’m loose
I done put these s****** to good use
I done put my city on my back
And the world know my name I’m the truth
So if you’re ready
And if you’ll let me
I wanna see it
In motion
In 3D
You won’t regret me
Champagne confetti
I wanna see it
In motion
In 3D
‘Cause you know how I like it girl
3D
You know how I like it girl
3D
‘Cause you know how I like it girl
3D
You know how I like it girl
3D
I got you p****** **** ******** on camera
You my bae, just like Tampa
Speaking of bucks I got those, and as for f**** well not those
And as for thots well do you really wanna know? I thought so
I’ll fly you from Korea to Kentucky
And you ain’t gotta guarantee me nothing I just wanna see if I get lucky
I just wanna meet you in the physical and see if you would touch me"
FIFTYFIFTY,Cupid,"불꺼진 romantic all my life
내 주위는 온통 lovely day
내 눈 속에 비친 arrow sign
(oh why oh why, oh why oh why)
I’m feeling lonely (lonely)
그만 힐끗대고 말해줘요
hold me (hold me)
다시 crying in my room
숨기고 싶어 (say what you say
but I want it more)
But still I want it more, more, more
I gave a second chance to Cupid
널 믿은 내가 정말 stupid
보여줄게 숨겨왔던 love, is it real?
Cupid is so dumb
또 꿈길을 걷는 everyday
눈 뜨면 다시 또 flew away
Waiting around is a waste (waste)
나 솔직히 지금이 편해
상상만큼 짜릿한 걸까?
Now I’m so lonely (lonely)
매일 꿈속에서 연습했죠
kiss me (kiss me)
다시 crying in my room
포기할까봐 (say what you say
but I want it more)
But still I want it more, more, more
I gave a second chance to Cupid
널 믿은 내가 정말 stupid
보여줄게 숨겨왔던 love, is it real?
Cupid is so dumb
I'm so lonely hold me tightly
짜릿한 걸 원해
who will really love me truly
내게 기다림은 없어 I can’t wait
더는 믿지 않아 now
I’m gonna make it mine
Love is a light I’ll show my love is right
It’s not a joke
so give it to me right now
No more chance to you
You know? Hey, d-d-d-dumb boy
꿈속에 매일 밤 someone
who will share this feeling
I’m a fool, a fool for love,
a fool for love
I gave a second chance to Cupid
널 믿은 내가 정말 stupid
보여줄게 숨겨왔던 love, is it real?
Cupid is so dumb
I gave a second chance to Cupid
널 믿은 내가 정말 stupid
다시 한번 못 들은 척 기회를 줄게
Cupid is so dumb"
